id,name,description,type,domain,gender,aliases,residence,theoi_url,level1,level2,level3,level4,level5
Q304227,Aba,Najad in Greek mythology,naiad,[],female,[],,https://www.theoi.com/Nymphe/NympheAba.html,Mythological Greek Character,Greek deity,Greek nymph,naiad,
Q279782,Abarbarea,water deity,naiad,[],female,[],,https://www.theoi.com/Nymphe/NympheAbarbaree.html,Mythological Greek Character,Greek deity,Greek nymph,naiad,
Q305567,Abaris the Hyperborean,"semi-legendary Greek physician, magician, and prophet of Apollo",Mythological Greek Character,[],male,"['Abaris', 'the Hyperborean', 'Scythicus', 'Hyperboreus', 'Historicus', 'Abaris Scythicus', 'Abairis']",,,Mythological Greek Character,,,,
Q305607,Abas,"mythical character, son of Lynceus",Mythological Greek Character,[],male,"['Abas', 'son of Lynceus', 'son of lynceus', 'son of Lynceos', 'Abantias']",,,Mythological Greek Character,,,,
Q308055,Abderus,son of Hermes in Greek mythology,Mythological Greek Character,[],male,['Abderos'],,,Mythological Greek Character,,,,
Q333658,Absyrtus,mythical brother of Medea,Mythological Greek Character,[],male,"['Apsyrtus', 'Aegialeus']",,,Mythological Greek Character,,,,
Q947753,Acacallis,daughter of Minos in Greek mythology,Mythological Greek Character,[],female,['Acacallis'],,,Mythological Greek Character,,,,
Q415491,Acacus,mythical son of Lycaon,Mythological Greek Character,[],male,['Akakos'],,,Mythological Greek Character,,,,
Q348668,Acamas,son of Theseus,Mythological Greek Character,[],male,[],,,Mythological Greek Character,,,,
Q2822505,Acanthis,"daughter of Hippodamia and Autonous and sister to Anthus, Erodius, Schoenous and Acanthus",Mythological Greek Character,[],female,['Acanthyllis'],,,Mythological Greek Character,,,,
Q221925,Acarnan,son of Alcmaeon in Greek mythology,Mythological Greek Character,[],male,[],,,Mythological Greek Character,,,,
Q416384,Acastus,"mythical character, son of Pelias",Mythological Greek Character,[],male,[],,,Mythological Greek Character,,,,
Q367565,Acerbas,priest from Roman mythology,Mythological Greek Character,[],male,['Sychaeus'],,,Mythological Greek Character,,,,
Q605797,Aceso,Greek goddess of healing,Greek deity,[],female,[],,https://www.theoi.com/Ouranios/AsklepiasAkeso.html,Mythological Greek Character,Greek deity,,,
Q404275,Acestes,mythical character,Mythological Greek Character,[],male,['Agestas'],,,Mythological Greek Character,,,,
